21488: AET 335K Virtual Reality for Video Games: Johns, MJ
21489: AET 335G Technical Art II: Oster, Isaac
21485: AET 334E Video Game Art Pipeline: Byrne, William
21484: AET 334C Level Design: Augustin, Andrew
21480: AET 333 Topics in Video Game Development: Coleman, Tyler
21475: AET 333 Topics in Video Game Development: Chittenden, Kyle
21470: AET 333 Topics in Video Game Development: Daugherty, Neal
21465: AET 330T Topics in Innovative Design: Contour, Jessie
21463: AET 330T Topics in Innovative Design: Haley, Mk
21459: AET 330T Topics in Innovative Design: Contour, Jessie
21450: AET 329F Advanced Topics in Projection, Lighting, and Interactivity: Smith, Matthew
21440: AET 326C 3D Modeling and Texturing: Oster, Isaac
21435: AET 325D Advanced 2D Animation: Myers, Roland
21434: AET 324P Advanced Production Laboratory: Mazique, Earnest
21430: AET 324D Principles of Animation: Dimick, Lucas
21425: AET 321C Audio Processing: Lipman, Samuel
21420: AET 320D Musical Acoustics: Gelb, James
21415: AET 319 Topics in Arts and Entertainment Technologies: Smith, Matthew
21410: AET 319 Topics in Arts and Entertainment Technologies: Smith, Matthew
21405: AET 319 Topics in Arts and Entertainment Technologies: Contour, Jessie
21395: AET 319 Topics in Arts and Entertainment Technologies: Baker, Michael
21385: AET 319 Topics in Arts and Entertainment Technologies: Daugherty, Neal
21375: AET 310 Foundations of Creative Coding: Freeman, Eric
21550: AET 170 Research Methods Proseminar: Murnane, Maura
31378: AFR 387C Analysis and Criticism of Film and Electronic Media: Sebro, Adrien
31375: AFR 386C Topics in Architectural Theory: Brown, Todd
31370: AFR 386C Topics in Black Studies Social Sciences: Falu, Nessette
31365: AFR 386C Topics in Black Studies Social Sciences: Gill, Lyndon
31355: AFR 375 Community Internship: Farmer, Ashley
31345: AFR 370 Topics in African and African Diaspora Studies: Davis, Amira Rose
31335: AFR 370 Topics in African and African Diaspora Studies: Smith, Christen
31330: AFR 370 Topics in African and African Diaspora Studies: Falu, Nessette
31320: AFR 370 Interpreting Black Rage: Jones, Brandon
31315: AFR 370 Black Filmmakers after Blaxploitation: Sebro, Adrien
31310: AFR 370 Topics in African and African Diaspora Studies: Townsend, Phillip
31300: AFR 365C African American Language: Hinrichs, Lars
31295: AFR 360G Blacks and Asians: Race and Social Movements: Bhalodia, Aarti
31290: AFR 360F Urban Unrest: Tang, Eric
31285: AFR 360D Race, Gender, and Surveillance: Browne, Simone
31284: AFR 352G African American Religions: Brown, Khytie
31275: AFR 351L The United States in the Civil Rights Era: Green, Laurie
31265: AFR 350Q African-American Politics: Philpot, Tasha
31260: AFR 350P Urban Slavery in the Americas: Canizares, Jorge
31245: AFR 345Q Mediascapes: Literature and Media in the Caribbean: Arroyo Martinez, Jossianna
31240: AFR 345F Sex and Power in the African Diaspora: Gill, Lyndon
31235: AFR 340W Coloniality in West Africa: Davidson de Sa, Celina
31230: AFR 340T African Religious Culture and Creativity: Adelakun, Abimbola
31229: AFR 340Q Daily Life in Ancient Egypt: Gopalakrishnan, Pratima
31220: AFR 338D Music of Latin America: Moore, Robin
31215: AFR 338D Music of Latin America: Moore, Robin
31210: AFR 335G Diaspora Visions: Okediji, Moyosore
31205: AFR 331F Black Horror and Psychoanalysis: Walter, Patrick
31195: AFR 330V Greek Tragedies and Postcolonial Dramas: Adelakun, Abimbola
31185: AFR 330P Writing Slavery: Woodard, Helena
31180: AFR 325C Latinx Sexualities: Rosas, Lilia
31175: AFR 320C Power and Place: Making Texas History: Colon Pizzini, Bethzabeth
31170: AFR 316E Blackness and Comics: Walter, Patrick
31165: AFR 315U Music of African Americans: Carson, Charles
31160: AFR 315U Music of African Americans: Carson, Charles
31155: AFR 315U Music of African Americans: Carson, Charles
31150: AFR 315U Music of African Americans: Carson, Charles
31145: AFR 315T African American Literature and Culture: Shear, Richard
31140: AFR 315K Introduction to African American History: Fourmy, Signe
31135: AFR 315I Introduction to African American Women's History: LeFlouria, Talitha
31130: AFR 310K Introduction to Modern Africa: Falola, Oloruntoyin
31129: AFR 304 Introduction to the Study of Africa: Thomas, Kevin
31125: AFR 303 Introduction to Black Studies: Colon Pizzini, Bethzabeth
31120: AFR 302M Numbering Race: Paixao, Marcelo
31115: AFR 301 African American Culture: Colon Pizzini, Bethzabeth
31580: AFS 335 Senior Air Force Studies II: Hood, Matthew
31575: AFS 322 Air Force Leadership Studies II: Hall, Cody
31560: AFS 111L The Evolution of USAF Air and Space Power II: Boone, Savard
31555: AFS 111L The Evolution of USAF Air and Space Power II: Boone, Savard
31550: AFS 102L The Foundations of the United States Air Force II: Boone, Savard
31545: AFS 102L The Foundations of the United States Air Force II: Boone, Savard
33720: AHC 378 Aegean Prehistory: Palaima, Thomas
33715: AHC 325 Alexander the Great and the Hellenistic World: Perlman, Paula
33710: AHC 325 Alexander the Great and the Hellenistic World: Perlman, Paula
33705: AHC 325 Alexander the Great and the Hellenistic World: Perlman, Paula
33700: AHC 325 Topics in Ancient History: Riggsby, Andrew
33695: AHC 319D The Ancient Mediterranean World: Craven, Stephanie
33690: AHC 319D The Ancient Mediterranean World: Craven, Stephanie
33685: AHC 319D The Ancient Mediterranean World: Craven, Stephanie
33680: AHC 319D The Ancient Mediterranean World: Craven, Stephanie
33675: AHC 310 The Medieval Millennium in Europe: Newman, Martha
33674: AHC 310 The Premodern World: Doss, Jacob
33670: AHC 310 The Ancient Middle East: Bjoeru, Oeyvind
10534: ALD 379 Advanced Child and Family Development: Speranza, Hallie
10520: ALD 333 Children's Literature: Ries, Elizabeth
10515: ALD 331 Restorative Practices: Hermosura, Lorna
10510: ALD 331 Restorative Practices: Hernandez, Arcelia
10505: ALD 329 Acquisition of Language and Literacies: Tovar, Iran
10500: ALD 329 Acquisition of Language and Literacies: Tovar, Iran
10495: ALD 329 Acquisition of Language and Literacies: Byrd, Amanda
10484: ALD 328 Applied Human Learning: Armonda, Alex
10480: ALD 328 Applied Human Learning: Cruise, Kelly
10475: ALD 328 Applied Human Learning: Springer, Sandra
10465: ALD 327 Sociocultural Influences on Learning: Schaller, James
10455: ALD 327 Sociocultural Influences on Learning: De Lissovoy, Noah
10440: ALD 327 Sociocultural Influences on Learning: Nunez, Patricia
10425: ALD 322 Individual Differences: Bryant, Diane
10410: ALD 322 Individual Differences: Patton, James
10405: ALD 322 Individual Differences: Tackett, Kathryn
10375: ALD 320 Cognition, Human Learning, and Motivation: Muenks, Katherine
10345: ALD 118C Forum Seminar Series: Dieter, Eric
10340: ALD 118C Forum Seminar Series: Dieter, Eric
31820: AMS 390 Research Seminar in American Studies: Beasley, Alex
31815: AMS 390 Research Seminar in American Studies: Chhun, Lina
31800: AMS 370 Black Horror and Psychoanalysis: Walter, Patrick
31785: AMS 370 Urban Slavery in the Americas: Canizares, Jorge
31784: AMS 370 Twentieth-Century United States Lesbian and Gay History: Carranza, John
31770: AMS 370 Animals and American Culture: Davis, Janet
31765: AMS 370 The Culture of Cities: Heyman, Richard
31760: AMS 370 Seminar in American Culture: Brumberg-kraus, Zoe
31755: AMS 370 Seminar in American Culture: Brumberg-kraus, Zoe
31750: AMS 370 Seminar in American Culture: Pena, Karla
31745: AMS 356 Main Currents of American Culture since 1865: Mickenberg, Julia
31740: AMS 355 Main Currents of American Culture to 1865: Beasley, Alex
31735: AMS 337J Latinx Sexualities: Rosas, Lilia
31729: AMS 327C Native American Religions: Graber, Jennifer
31725: AMS 324F Asian Americans in the South: Bhalodia, Aarti
31720: AMS 322D Mexican American Studies at UT: Vasquez, Antonio
31710: AMS 321T Asian American Jurisprudence: Jin, Arnold
31705: AMS 321S Cultural Heritage on Display: Seriff, Suzanne
31700: AMS 321 The United States in the Civil Rights Era: Green, Laurie
31699: AMS 321 Urban Unrest: Tang, Eric
31695: AMS 321 Race, Gender, and Surveillance: Browne, Simone
31690: AMS 321 Studies in Film History: Fuller, Kathryn
31689: AMS 321 Topics in the History of Architecture: Norwood, Bryan
31685: AMS 315P Building America: Engineering, Society, and Culture, 1868-1980: Bsumek, Erika
31680: AMS 315 History of Religion in the United States: Graber, Jennifer
31675: AMS 312C Blackness and Comics: Walter, Patrick
31670: AMS 311S Introductory Seminar in American Studies: Johnson, Taylor
31665: AMS 311S Introductory Seminar in American Studies: Wilson, Kristen
31660: AMS 311S Introductory Seminar in American Studies: Schneider, Henrik
31655: AMS 311S Introductory Seminar in American Studies: Tovar, Amanda
31645: AMS 311S Introductory Seminar in American Studies: Childress, Stephanie
31640: AMS 310 Introduction to American Studies: Cordova, Cary
31635: AMS 310 Introduction to American Studies: Brumberg-kraus, Zoe
32730: ANS 379 The Cultural Outsider: Memoirs of East Asia: Lai, Chiu-Mi
32725: ANS 379 Capstone Seminars in Asian Studies: Waring, Luke
32710: ANS 361M Big Asian Histories: Oppenheim, Robert
32705: ANS 361E Urban Experiences In East Asia: Oh, Youjeong
